;circuitId;circuitRef;name;location;country;lat;lng;alt
30;31;donington;Donington Park;Castle Donington;UK;52.8306;-1.3752799999999998;0
31;32;rodriguez;Autódromo Hermanos Rodríguez;Mexico City;Mexico;19.4042;-99.0907;0
32;33;phoenix;Phoenix street circuit;Phoenix;USA;33.4479;-112.075;0
33;34;ricard;Circuit Paul Ricard;Le Castellet;France;43.2506;5.79167;0
34;35;yeongam;Korean International Circuit;Yeongam County;Korea;34.7333;126.417;0
35;36;jacarepagua;Autódromo Internacional Nelson Piquet;Rio de Janeiro;Brazil;-22.9756;-43.395;0
36;37;detroit;Detroit Street Circuit;Detroit;USA;42.3298;-83.0401;0
37;38;brands_hatch;Brands Hatch;Kent;UK;51.3569;0.263056;0
38;39;zandvoort;Circuit Park Zandvoort;Zandvoort;Netherlands;52.3888;4.54092;0
39;40;zolder;Zolder;Heusden-Zolder;Belgium;50.9894;5.25694;0
40;41;dijon;Dijon-Prenois;Dijon;France;47.3625;4.89913;0
41;42;dallas;Fair Park;Dallas;USA;32.7774;-96.7587;0
42;43;long_beach;Long Beach;California;USA;33.7651;-118.189;0
43;44;las_vegas;Las Vegas Street Circuit;Nevada;USA;36.1162;-115.17399999999999;0
44;45;jarama;Jarama;Madrid;Spain;40.6171;-3.58558;0
45;46;watkins_glen;Watkins Glen;New York State;USA;42.3369;-76.9272;0
46;47;anderstorp;Scandinavian Raceway;Anderstorp;Sweden;57.2653;13.6042;0
47;48;mosport;Mosport International Raceway;Ontario;Canada;44.0481;-78.6756;0
48;49;montjuic;Montjuïc;Barcelona;Spain;41.3664;2.15167;0
49;50;nivelles;Nivelles-Baulers;Brussels;Belgium;50.6211;4.3269400000000005;0
50;51;charade;Charade Circuit;Clermont-Ferrand;France;45.7472;3.0388900000000003;0
51;52;tremblant;Circuit Mont-Tremblant;Quebec;Canada;46.1877;-74.6099;0
52;53;essarts;Rouen-Les-Essarts;Rouen;France;49.3306;1.00458;0
53;54;lemans;Le Mans;Le Mans;France;47.95;0.22423099999999999;0
54;55;reims;Reims-Gueux;Reims;France;49.2542;3.9308300000000003;0
55;56;george;Prince George Circuit;Eastern Cape Province;South Africa;-33.0486;27.8736;0
56;57;zeltweg;Zeltweg;Styria;Austria;47.2039;14.7478;0
57;58;aintree;Aintree;Liverpool;UK;53.4769;-2.94056;0
58;59;boavista;Circuito da Boavista;Oporto;Portugal;41.1705;-8.67325;0
59;60;riverside;Riverside International Raceway;California;USA;33.937;-117.273;0
60;61;avus;AVUS;Berlin;Germany;52.4806;13.2514;0
61;62;monsanto;Monsanto Park Circuit;Lisbon;Portugal;38.7197;-9.20306;0
62;63;sebring;Sebring International Raceway;Florida;USA;27.4547;-81.3483;0
63;64;ain-diab;Ain Diab;Casablanca;Morocco;33.5786;-7.6875;0
64;65;pescara;Pescara Circuit;Pescara;Italy;42.475;14.1508;0
65;66;bremgarten;Circuit Bremgarten;Bern;Switzerland;46.9589;7.40194;0
66;67;pedralbes;Circuit de Pedralbes;Barcelona;Spain;41.3903;2.11667;0
67;68;buddh;Buddh International Circuit;Uttar Pradesh;India;28.3487;77.5331;0
68;69;americas;Circuit of the Americas;Austin;USA;30.1328;-97.6411;0
69;70;red_bull_ring;Red Bull Ring;Spielburg;Austria;47.2197;14.7647;0
70;71;sochi;Sochi Autodrom;Sochi;Russia;43.4057;39.9578;0
71;72;port_imperial;Port Imperial Street Circuit;New Jersey;USA;40.7769;-74.0111;0
72;73;BAK;Baku City Circuit;Baku;Azerbaijan;40.3725;49.8533;0
73;74;hanoi;Hanoi Street Circuit;Hanoi;Vietnam;21.0166;105.766;0
74;75;portimao;Autódromo Internacional do Algarve;Portimão;Portugal;37.227;-8.6267;0
75;76;mugello;Autodromo Internazionale del Mugello;Mugello;Italy;43.9975;11.3719;0
